IP,Timestamp,Method,URL,Status,Response_Time
192.168.1.12,2026-09-14 11:10:59,GET,/contact,200,586
192.168.1.12,2026-09-14 11:11:29,POST,/about,200,189
192.168.1.12,2026-09-14 11:11:59,POST,/about,500,510
172.16.0.8,2026-09-14 11:12:29,GET,/contact,404,152
10.0.0.5,2026-09-14 11:12:59,POST,/login,500,827
192.168.1.10,2026-09-14 11:13:29,GET,/products,200,915
192.168.1.10,2026-09-14 11:13:59,POST,/products,200,854
192.168.1.10,2026-09-14 11:14:29,GET,/home,200,90
10.0.0.5,2026-09-14 11:14:59,POST,/about,200,648
172.16.0.8,2026-09-14 11:15:29,POST,/,200,480
192.168.1.11,2026-09-14 11:15:59,POST,/about,201,175
192.168.1.10,2026-09-14 11:16:29,GET,/contact,201,309
192.168.1.12,2026-09-14 11:16:59,POST,/products,200,711
192.168.1.10,2026-09-14 11:17:29,POST,/contact,200,951
192.168.1.11,2026-09-14 11:17:59,GET,/contact,200,609
172.16.0.8,2026-09-14 11:18:29,POST,/contact,500,342
192.168.1.10,2026-09-14 11:18:59,GET,/home,200,963
192.168.1.12,2026-09-14 11:19:29,GET,/about,404,552
172.16.0.8,2026-09-14 11:19:59,POST,/products,200,898
10.0.0.5,2026-09-14 11:20:29,POST,/contact,500,55
10.0.0.5,2026-09-14 11:20:59,POST,/home,404,89
10.0.0.5,2026-09-14 11:21:29,POST,/about,200,748
192.168.1.12,2026-09-14 11:21:59,POST,/products,200,228
10.0.0.5,2026-09-14 11:22:29,GET,/about,200,383
192.168.1.12,2026-09-14 11:22:59,POST,/home,200,873
10.0.0.5,2026-09-14 11:23:29,POST,/login,201,256
192.168.1.12,2026-09-14 11:23:59,POST,/contact,404,378
192.168.1.10,2026-09-14 11:24:29,POST,/products,200,644
10.0.0.5,2026-09-14 11:24:59,GET,/home,404,703
172.16.0.8,2026-09-14 11:25:29,POST,/,200,251
192.168.1.11,2026-09-14 11:25:59,POST,/contact,200,540
192.168.1.10,2026-09-14 11:26:29,GET,/contact,500,603
172.16.0.8,2026-09-14 11:26:59,GET,/,200,166
192.168.1.10,2026-09-14 11:27:29,POST,/login,200,774
